id,aircraft_id,shop_id,work_package_id,assigned_supervisor_id,assigned_worker_id,distributed_at,planned_mh,task_text,is_active,deactivated_at,deactivated_by,created_at,created_by
215,4,2,4,6,7,2026-03-06T09:27:53+00:00,7.50,Inspect antenna doubler edges,1,,,2026-02-21T09:27:53+00:00,16
216,4,2,9,6,,,5.50,Prepare engineering deviation record,1,,,2026-02-22T09:27:53+00:00,16
217,1,2,1,6,8,2026-03-10T09:27:53+00:00,15.00,Replace worn fasteners at frame 62,1,,,2026-02-16T09:27:53+00:00,16
218,1,2,1,6,7,2026-03-10T09:27:53+00:00,10.00,Inspect crown skin for lightning strike marks,1,,,2026-02-17T09:27:53+00:00,16
219,4,2,4,6,20,2026-03-06T09:27:53+00:00,9.50,Trim and fit replacement trim panel supports,1,,,2026-02-18T09:27:53+00:00,16
220,4,2,9,6,7,2026-03-10T09:27:53+00:00,8.50,Re-torque seat track splice bolts,1,,,2026-02-19T09:27:53+00:00,16
221,2,2,,6,20,2026-03-17T09:27:53+00:00,4.00,Review third-party structural defect list,1,,,2026-02-20T09:27:53+00:00,16
301,1,3,1,9,10,2026-03-06T09:27:53+00:00,10.00,Update ELT wiring harness routing,1,,,2026-02-16T09:27:53+00:00,16
302,1,3,1,9,11,2026-03-10T09:27:53+00:00,9.00,Functional test SATCOM LRU after removal,1,,,2026-02-17T09:27:53+00:00,16
303,2,3,2,9,10,2026-03-17T09:27:53+00:00,7.00,Install cabin IFE control unit patch,1,,,2026-02-18T09:27:53+00:00,16
304,3,3,3,9,10,2026-03-06T09:27:53+00:00,14.00,Replace ADC cooling fan assembly,1,,,2026-02-19T09:27:53+00:00,16
305,3,3,3,9,11,2026-03-10T09:27:53+00:00,18.00,Troubleshoot intermittent autopilot disconnect,1,,,2026-02-20T09:27:53+00:00,16
306,3,3,3,9,10,2026-03-10T09:27:53+00:00,11.00,Software load for communication management unit,1,,,2026-02-21T09:27:53+00:00,16
307,2,3,2,9,11,2026-03-06T09:27:53+00:00,8.00,Terminate new PSU loom at zone 410,1,,,2026-02-22T09:27:53+00:00,16
308,1,3,1,9,10,2026-03-10T09:27:53+00:00,6.50,Bonding resistance check for VHF antenna feed,1,,,2026-02-16T09:27:53+00:00,16
309,3,3,,9,,,5.00,General avionics defect backlog cleanup,1,,,2026-02-17T09:27:53+00:00,16
310,3,3,3,9,11,2026-03-10T09:27:53+00:00,7.50,Close open MEL-related wiring findings,1,,,2026-02-18T09:27:53+00:00,16
401,1,4,1,12,13,2026-03-10T09:27:53+00:00,12.00,Replace sidewall panel set in business cabin,1,,,2026-02-18T09:27:53+00:00,16
402,2,4,2,12,13,2026-03-10T09:27:53+00:00,16.00,Install premium economy seat harness kit,1,,,2026-02-19T09:27:53+00:00,16
403,2,4,2,12,13,2026-03-06T09:27:53+00:00,9.00,Fit new galley monument latches,1,,,2026-02-20T09:27:53+00:00,16
404,5,4,5,12,13,2026-03-10T09:27:53+00:00,14.00,Refresh overhead bin dampers,1,,,2026-02-21T09:27:53+00:00,16
405,5,4,5,12,13,2026-03-17T09:27:53+00:00,18.00,Cabin carpet section replacement at zone 230,1,,,2026-02-22T09:27:53+00:00,16
406,1,4,1,12,13,2026-03-06T09:27:53+00:00,6.00,Lavatory door roller replacement,1,,,2026-02-16T09:27:53+00:00,16
407,2,4,2,12,13,2026-03-10T09:27:53+00:00,7.00,IFE screen bezel replacement row 18-24,1,,,2026-02-17T09:27:53+00:00,16
408,5,4,,12,13,2026-02-26T09:27:53+00:00,5.00,Cabin cosmetic snag walkdown,0,2026-03-17T09:27:53+00:00,16,2026-02-18T09:27:53+00:00,16
501,4,5,4,14,15,2026-03-06T09:27:53+00:00,11.00,Borescope prep and access panel removal,1,,,2026-02-20T09:27:53+00:00,16
502,4,5,4,14,15,2026-03-10T09:27:53+00:00,8.00,Replace fan cowl latch assemblies,1,,,2026-02-21T09:27:53+00:00,16
503,6,5,6,14,15,2026-03-10T09:27:53+00:00,10.00,Engine preservation desiccant renewal,1,,,2026-02-22T09:27:53+00:00,16
504,6,5,6,14,15,2026-03-10T09:27:53+00:00,6.00,Oil servicing and leak check standby,1,,,2026-02-16T09:27:53+00:00,16
505,4,5,4,14,15,2026-03-06T09:27:53+00:00,9.00,Re-route ignition lead clamp at nacelle,1,,,2026-02-17T09:27:53+00:00,16
506,6,5,,14,,2026-03-17T09:27:53+00:00,4.00,General engine tooling readiness check,1,,,2026-02-18T09:27:53+00:00,16
601,1,6,1,17,,2026-03-06T09:27:53+00:00,3.00,QA witness for structural blend-out closeout,1,,,2026-02-22T09:27:53+00:00,16
602,3,6,3,17,,,3.50,QA verify avionics software load record,1,,,2026-02-16T09:27:53+00:00,16
603,4,6,4,17,,,4.00,QA release after engine ground run,1,,,2026-02-17T09:27:53+00:00,16
604,5,6,5,17,,2026-03-06T09:27:53+00:00,2.50,QA sign-off cabin monument installation,1,,,2026-02-18T09:27:53+00:00,16
